x,y
9.903421409272866, 59.41079981102636
11.019118833447303, 62.19312755137732
11.344644956559803, 58.26513790711944
11.566990788117366, 53.68249029149177
11.908702110433314, 49.59083266972151
12.260508247376318, 56.13748207681799
12.500804255935389, 61.04746564747041
12.622707419332125, 65.13911629990079
13.641749831003079, 60.229132729248384
14.45966876724631, 62.19312755137732
15.4760872374092, 63.99345439599388
16.888586216784855, 63.011460469599356
17.728288817515313, 65.79378124061046
18.2520168229405, 68.24877302593666
18.974469521137088, 71.35842975197254
21.112091045551598, 68.73977347380385
22.596130523071796, 70.86743278877526
23.950927617990004, 73.4860890669439
25.141760318982058, 72.34042716303699
26.90906984498484, 75.45008388907286
28.800598347166066, 78.39607263759633
32.04520968527686, 76.59574579297977
33.966531557961666, 74.46808647800837
37.79312543913026, 73.81342153729874
41.24251248757399, 76.59574579297977
43.29307743122093, 79.21440207114843
47.70517620225838, 81.01473240043494
53.59714698223246, 80.52373195256772
60.80411057455915, 79.70540251901562
65.07823483318684, 81.83306183398703
71.01788124866573, 84.45171811215566
79.01863041371335, 87.88870730854636
93.1921580386568, 90.18003460103012
106.75421170043876, 91.8166934681343
121.10886293588995, 94.10802076061807
141.45263985506443, 94.76268570132773
166.82492089954843, 93.61702031275088
187.42913280192695, 93.61702031275088
212.63169661537614, 92.96235885671116
243.5757299059183, 92.14402593848912
279.0227802716959, 91.9803614456467
313.48432510150275, 91.8166934681343
345.4322458220194, 90.18003460103012
373.3192986671383, 88.05237528605873
423.51748988105953, 89.03436921245327
457.7084340213195, 88.21603977890118
489.8822904060803, 90.18003460103012
529.4309239968225, 91.48936099777949
600.6205861767352, 92.96235885671116
661.8312347923295, 91.8166934681343
722.2367202615058, 90.50736707138493
803.6019703416649, 90.99836403458221
929.5256588255008, 90.67103156422739
1024.2557926088346, 92.30769391600151
1139.6457006177966, 91.8166934681343
1231.6503129903635, 89.68903415316292
1331.082539658533, 90.01636662351774
1410.889725285087, 88.543372249256
1510.0658820301999, 90.50736707138493
1585.1471999836006, 91.8166934681343
1729.823941003783, 91.32569650493703
1924.7012625327377, 91.8166934681343
2204.7988839929103, 91.32569650493703
2525.658507886859, 90.67103156422739
2810.194737958498, 89.52536966032048
3126.7837332468475, 87.56137483819154
3547.228062756769, 86.74304540463945
3946.849253871311, 86.90670989748187
4224.286486020817, 88.37970775641355
4391.4943251866825, 90.01636662351774
4839.037782824031, 90.83469954173977
5280.697848273941, 89.36170168280809
5762.668327109255, 88.70703674209845
6227.893673354977, 90.01636662351774
7065.324255141722, 91.8166934681343
7344.987484806167, 89.68903415316292
7861.291216436805, 87.72504281570392
8413.887663861338, 89.03436921245327
9271.366633341984, 90.50736707138493
9923.081997052595, 93.1260233495536
10724.18124411254, 90.67103156422739
11478.019804964071, 89.36170168280809
12284.848199061671, 91.16202852742467
13148.391258980044, 92.79869087919879
14072.635648231093, 94.76268570132773
14488.362587797035, 92.63502638635633
15061.848266236197, 90.99836403458221
16436.54654089613, 92.79869087919879
17253.766542745885, 90.50736707138493
17253.766542745885, 88.37970775641355
18466.59148889195, 86.08838046392978
20152.041442304206, 87.2340423678367
21153.994699564188, 85.10638305286533
21778.93369522984, 82.81505924505149
22861.77553128204, 80.85106442292253
24948.374919550242, 82.97872373789394
27490.922154654978, 85.2700510303777
28029.698745094945, 82.32405879718429
28857.762287293495, 76.26841332262495
29710.288783452386, 67.43044359238456